TEB_Class,VEGF,BLDF,PAVF,BLDH,Z0RF,Z0RD,ALRF,ALRD,ALWL,EMRF,EMRD,EMWL,HCRF1,HCRD1,HCWL1,HCRF2,HCRD2,HCWL2,HCRF3,HCRD3,HCWL3,TCRF1,TCRD1,TCWL1,TCRF2,TCRD2,TCWL2,TCRF3,TCRD3,TCWL3,DPRF1,DPRD1,DPWL1,DPRF2,DPRD2,DPWL2,DPRF3,DPRD3,DPWL3,QHTR,QETR,QHIN,QEIN,VF_1,VF_2,VF_3,VF_4,VF_5,VF_6,VF_7,VF_8,VF_9,VF10,VF11,VF12,VF13,VF14,VF15,VF16,VF17,VF18,VF19,VF20,VF21,VF22,VF23,VF24,VF25,VF26
223,0.280941682,0.524757444,0.194300873,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140470841,0,0,0,0,0,0,0,0.719058318,0,0,0,0.140470841,0
224,0.273995953,0.529439002,0.196565045,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136997977,0,0,0,0,0,0,0,0.726004047,0,0,0,0.136997977,0
225,0.267333804,0.533929421,0.198736775,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133666902,0,0,0,0,0,0,0,0.732666196,0,0,0,0.133666902,0
226,0.260932983,0.5382437,0.200823317,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130466492,0,0,0,0,0,0,0,0.739067017,0,0,0,0.130466492,0
227,0.254773762,0.542395136,0.202831102,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127386881,0,0,0,0,0,0,0,0.745226238,0,0,0,0.127386881,0
228,0.248838562,0.546395577,0.204765861,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124419281,0,0,0,0,0,0,0,0.751161438,0,0,0,0.124419281,0
229,0.243111659,0.550255622,0.206632719,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12155583,0,0,0,0,0,0,0,0.756888341,0,0,0,0.12155583,0
230,0.237578926,0.553984793,0.208436282,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118789463,0,0,0,0,0,0,0,0.762421074,0,0,0,0.118789463,0
231,0.232227627,0.557591673,0.2101807,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116113813,0,0,0,0,0,0,0,0.767772373,0,0,0,0.116113813,0
232,0.227046239,0.56108403,0.211869731,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11352312,0,0,0,0,0,0,0,0.772953761,0,0,0,0.11352312,0
233,0.222024304,0.564468912,0.213506783,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111012152,0,0,0,0,0,0,0,0.777975696,0,0,0,0.111012152,0
234,0.217152301,0.567752738,0.215094961,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10857615,0,0,0,0,0,0,0,0.782847699,0,0,0,0.10857615,0
235,0.212421535,0.570941367,0.216637098,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106210767,0,0,0,0,0,0,0,0.787578465,0,0,0,0.106210767,0
236,0.207824048,0.574040164,0.218135788,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103912024,0,0,0,0,0,0,0,0.792175952,0,0,0,0.103912024,0
237,0.203352535,0.577054051,0.219593414,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101676268,0,0,0,0,0,0,0,0.796647465,0,0,0,0.101676268,0
238,0.199000277,0.579987558,0.221012165,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099500139,0,0,0,0,0,0,0,0.800999723,0,0,0,0.099500139,0
239,0.194761078,0.582844862,0.22239406,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097380539,0,0,0,0,0,0,0,0.805238922,0,0,0,0.097380539,0
240,0.190629212,0.585629821,0.223740968,14.5,0.15,0.05,0.15,0.16,0.3,0.92,0.93,0.92,3.00E+006,1.00E+006,1.60E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.72,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095314606,0,0,0,0,0,0,0,0.809370788,0,0,0,0.095314606,0
241,0.186599377,0.588346008,0.225054615,14.5,0.15,0.05,0.15,0.16,0.3,0.92,0.93,0.92,3.00E+006,1.00E+006,1.60E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.72,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093299689,0,0,0,0,0,0,0,0.813400623,0,0,0,0.093299689,0
